C V graphemes
b ɑ bah
#b aʊ bow
b aɪ bye
b ɚ burr
b e bay
b i bee
b o bo
b ɔɪ boy
b u boo
tʃ ɑ chah
tʃ aʊ chow
tʃ aɪ chai
tʃ ɚ chur
tʃ i chee
tʃ u choo
d ɑ dah
#d aʊ dow
d aɪ dye
d ɚ dur
d e day
d i dee
d o doe
d ɔɪ doy
d u doo
ð aʊ thou
ð aɪ thy
ð e they
ð i thee
ð o though
f ɑ fah
f aɪ fie
f ɚ fur
f e fay
f i fee
f o foe
f ɔɪ foy
f u foo
g ɑ gah
g aɪ guy
g ɚ ger
g e gay
g i ghee
g o go
g ɔɪ goy
g u goo
h ɑ hah
h aʊ how
h aɪ hi
h ɚ her
h e hay
h i he
h o hoe
h ɔɪ hoy
h u hoo
dʒ ɑ jah
#dʒ aɪ jye
dʒ ɚ jer
dʒ e jay
dʒ i jee
dʒ o joe
dʒ ɔɪ joy
dʒ u joo
k ɑ kah
k aʊ cow
k aɪ kye
k ɚ ker
k e kay
k i key
k o ko
k ɔɪ coy
k u koo
l ɑ lah
#l aʊ low
l aɪ lie
l e lay
l i lee
l o lo
l ɔɪ loy
l u loo
m ɑ mah
m aɪ my
m ɚ mer
m e may
m i mee
m o mo
m u moo
n ɑ nah
n aʊ now
n aɪ nye
n e nay
n i knee
n o no
n ɔɪ noy
n u noo
p ɑ pah
p aɪ pye
p ɚ per
p e pay
p i pee
p o poe
p ɔɪ poy
p u poo
ɹ ɑ rah
#ɹ aʊ row
ɹ aɪ rye
ɹ e ray
ɹ i ree
ɹ o roe
ɹ ɔɪ roy
ɹ u roo
s ɑ sah
#s aʊ sow
s aɪ sye
s ɚ sir
s e say
s i see
s o so
s ɔɪ soy
s u soo
ʃ aɪ shy
ʃ ɚ sher
ʃ e shay
ʃ i she
ʃ o show
ʃ u shoo
t ɑ tah
#t aʊ tow
t aɪ tie
t ɚ ter
t e tay
t i tee
t o toe
t ɔɪ toy
t u too
#θ aʊ thow
#θ aɪ thye
#θ ɚ ther
#θ i thee
v aʊ vow
v aɪ vye
v ɚ ver
v e vay
v i vee
v o vo
v ɔɪ voy
v u voo
w ɑ wah
w aʊ wow
w aɪ why
w ɚ wer
w e way
w i we
w o woe
w u woo
j ɑ yah
j ɚ yer
j e yay
j i yee
j o yo
j u yoo
z ɑ zah
z ɚ zer
z i zee
z o zo
z ɔɪ zoy
z u zoo
