arpabet	ipa	class
aa	ɑ	vowel
ae	æ	vowel
ah	ʌ	vowel
ao	ɔ	vowel
aw	aʊ	vowel
ay	aɪ	vowel
b	b	plosive
ch	tʃ	affricate
d	d	plosive
dh	ð	fricative
eh	ɛ	vowel
er	ɚ	vowel
ey	e	vowel
f	f	fricative
g	g	plosive
hh	h	fricative
ih	ɪ	vowel
iy	i	vowel
jh	dʒ	affricate
k	k	plosive
l	l	approximant
m	m	nasal
n	n	nasal
ng	ŋ	nasal
ow	o	vowel
oy	ɔɪ	vowel
p	p	plosive
r	ɹ	approximant
s	s	fricative
sh	ʃ	fricative
t	t	plosive
th	θ	fricative
uh	ʊ	vowel
uw	u	vowel
v	v	fricative
w	w	approximant
y	j	approximant
z	z	fricative
zh	ʒ	fricative
